account_number,prop_state,prop_zip,unpaid_balance,interest_rate,loan_type,origination_date,ltv,unique_id,prepayment_score,refinance_score,purchase_score,heloc_score,borrower_persona,new_product_description_refi,new_pi_savings_mo_refi,new_cashout_refi,new_product_description_co,new_pi_savings_mo_co,new_cashout_co,new_product_description_pf,new_pi_savings_mo_pf,new_cashout_pf,new_product_description_pc,new_pi_savings_mo_pc,new_cashout_pc
1428031023,TX,77406,150000,3,C,6/5/2012,20,0,400,100,300,0,Upgrader,30 YR FIXED CONFORMING,300,-1,30 YR FIXED CONFORMING,-1,200000,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1428046419,MA,1854,150000,3,C,7/17/2012,60,1,0,500,800,800,Upgrader,30 YR FIXED CONFORMING,0,-1,30 YR FIXED CONFORMING,-1,0,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1429004201,WA,98133,150000,3,C,9/19/2012,60,2,0,200,600,500,Refinancer,30 YR FIXED CONFORMING,200,-1,30 YR FIXED CONFORMING,100,0,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1429014317,TX,77346,250000,3,C,10/10/2012,40,3,700,400,400,700,Conservative,30 YR FIXED CONFORMING,350,-1,30 YR FIXED CONFORMING,50,50000,30 YR FIXED FHA,-1,100000,30 YR FIXED CONFORMING,-1,100000
1429020884,PA,19438,100000,3,F,10/15/2012,60,4,400,0,400,400,Refinancer,30 YR FIXED CONFORMING,-1,-1,30 YR FIXED CONFORMING,-1,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1429021973,FL,33009,0,3,C,9/25/2012,20,5,900,400,300,300,Conservative,15 YR FIXED CONFORMING,300,-1,30 YR FIXED CONFORMING,0,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1429958125,MA,2770,350000,3,C,10/31/2012,60,6,0,400,900,900,Refinancer,30 YR FIXED CONFORMING,-1,-1,30 YR FIXED CONFORMING,-1,0,30 YR FIXED FHA,-1,0,30 YR FIXED CONFORMING,-1,0
1429971813,FL,34715,150000,3,C,11/15/2012,40,7,400,500,200,200,Refinancer,30 YR FIXED CONFORMING,250,-1,30 YR FIXED CONFORMING,0,50000,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1429974494,FL,33009,100000,3,C,11/19/2012,60,8,700,400,300,800,Investor,30 YR FIXED CONFORMING,150,-1,,,,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1429998006,AL,35135,50000,3,C,12/19/2012,20,9,600,700,300,200,Investor,15 YR FIXED CONFORMING,400,-1,30 YR FIXED CONFORMING,300,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1429999285,CT,6488,150000,3,C,12/21/2012,40,10,800,100,300,300,Upgrader,30 YR FIXED CONFORMING,50,-1,30 YR FIXED CONFORMING,-1,100000,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1430020048,IA,52403,50000,3,C,1/22/2013,40,11,400,300,600,0,Upgrader,30 YR FIXED CONFORMING,50,-1,30 YR FIXED CONFORMING,-1,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1430023992,FL,34217,250000,3,C,1/25/2013,40,12,200,800,300,700,Conservative,30 YR FIXED CONFORMING,300,-1,30 YR FIXED CONFORMING,-1,100000,30 YR FIXED FHA,-1,100000,30 YR FIXED CONFORMING,-1,100000
1430027662,OK,73170,0,2,C,1/30/2013,20,13,0,200,300,700,Upgrader,15 YR FIXED CONFORMING,200,-1,30 YR FIXED CONFORMING,100,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1430036093,CA,93618,100000,2,C,2/4/2013,60,14,0,100,600,300,Downsizer,15 YR FIXED CONFORMING,500,-1,,,,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1430038883,FL,34990,300000,3,C,2/11/2013,60,15,700,100,0,400,Upgrader,30 YR FIXED CONFORMING,300,-1,30 YR FIXED CONFORMING,200,0,30 YR FIXED FHA,-1,50000,30 YR FIXED CONFORMING,0,50000
1430047769,FL,33143,300000,3,F,2/27/2013,60,16,900,0,400,700,Downsizer,30 YR FIXED CONFORMING,350,-1,30 YR FIXED CONFORMING,150,50000,30 YR FIXED FHA,-1,50000,30 YR FIXED CONFORMING,150,50000
1430051332,RI,2920,150000,3,C,3/4/2013,80,17,0,700,500,100,Downsizer,30 YR FIXED FHA,100,-1,,,,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1430054880,NC,27863,150000,3,C,3/8/2013,60,18,700,0,800,300,Refinancer,30 YR FIXED CONFORMING,100,-1,30 YR FIXED CONFORMING,-1,0,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
